ID,Country,Departure City,Destination City,Price,iGV Fee,OGV Fee,iGTa Fee,OGTa Fee,iGTe Fee,OGTe Fee,iGV,oGV,iGTa,oGTa,iGTe,oGTe
1611,Malaysia,Kuala Lumpur,Colombo,255,464.5273755,176.9628097,199.083161,154.8424586,0,0,5,38,2,1,0,0
1613,Mainland China,Beijing,Colombo,531,127.9658473,499.0668043,383.8975418,767.7950834,383.8975418,767.7950834,21,126,3,3,0,0
1615,Japan,Tokyo,Colombo,394,0,641.1122364,320.5561182,512.8897891,320.5561182,512.8897891,0,70,5,0,0,0
1616,New Zealand,Wellington,Colombo,1450,0,813.9237437,956.9168568,0,956.9168568,0,0,0,0,0,0,1
1617,Kenya,Nairobi,Colombo,476,8.922258798,74.35215665,7.435215665,74.35215665,0,74.35215665,29,55,0,8,0,1
1618,Russia,Moscow,Colombo,600,0,198.4230885,443.4035497,309.2739759,443.4035497,309.2739759,0,7,0,21,0,18
1619,Spain,Madrid,Colombo,958,213,286,650,312,0,312,23,32,3,20,3,1
1620,Finland,Helsinki,Colombo,1141,1200.037613,350.0109705,0,400.0125377,0,0,0,0,0,0,0,0
1621,United States,Washington D.C.,Colombo,1289,0,673.4278826,0,769.6318658,0,769.6318658,0,8,7,1,0,7
1622,Turkey,Ankara,Colombo,1161,94.83519619,144.8871053,395.1466508,173.8645263,395.1466508,173.8645263,776,827,150,85,303,51
1623,Sri Lanka,Colombo,Colombo,0,115.2,86.4,600,86.4,750,100.8,388,105,13,9,8,22
1624,Belgium,Brussels,Colombo,1426,0,350,2500,350,0,350,0,22,53,2,0,1
1625,United Arab Emirates,Abu Dhabi,Colombo,404,392.9149575,261.943305,523.88661,392.9149575,523.88661,392.9149575,0,5,3,1,0,0
1709,Malawi,Lilongwe,Colombo,1727,0,87.12547664,0,115.6532876,0,115.6532876,0,0,0,0,0,0
2010,Bangladesh,Dhaka,Colombo,312,0,125.1820371,0,208.6367285,0,150.2184445,0,2,0,0,0,1
